tabu_iteraciones, tabu_costo, tabu_tiempo, recocido_iteraciones, recocido_costo, recocido_tiempo, cantidad productos, quien_gano
1000, 7020000, 210, 1000, 6870000, 4, 40, Recocido
1000, 9890000, 249, 1000, 9700000, 2, 47, Recocido
1000, 9890000, 157, 1000, 9730000, 1, 43, Recocido
1000, 10800000, 293, 1000, 10710000, 1, 48, Recocido
1000, 9450000, 209, 1000, 9340000, 1, 45, Recocido
1000, 11270000, 258, 1000, 11010000, 1, 49, Recocido
1000, 9020000, 134, 1000, 8790000, 0, 43, Recocido
1000, 9890000, 239, 1000, 9830000, 2, 46, Recocido
1000, 11270000, 144, 1000, 11000000, 1, 46, Recocido
1000, 8190000, 97, 1000, 7980000, 1, 41, Recocido
1000, 10800000, 176, 1000, 10610000, 1, 49, Recocido
1000, 7790000, 121, 1000, 7540000, 0, 41, Recocido
1000, 7790000, 102, 1000, 7560000, 0, 40, Recocido
1000, 7790000, 113, 1000, 7570000, 1, 42, Recocido
1000, 8190000, 106, 1000, 8080000, 1, 41, Recocido
1000, 9890000, 155, 1000, 9730000, 1, 47, Recocido
1000, 7790000, 120, 1000, 7560000, 0, 43, Recocido
1000, 9020000, 127, 1000, 8730000, 1, 44, Recocido
1000, 9890000, 154, 1000, 10050000, 0, 45, Tabu
1000, 9890000, 164, 1000, 9630000, 1, 45, Recocido
1000, 9890000, 151, 1000, 9630000, 1, 47, Recocido
1000, 7400000, 88, 1000, 7130000, 1, 40, Recocido
1000, 10340000, 151, 1000, 10300000, 1, 47, Recocido
1000, 10800000, 200, 1000, 10550000, 0, 49, Recocido
1000, 8600000, 118, 1000, 8280000, 1, 43, Recocido
1000, 8190000, 106, 1000, 8030000, 1, 41, Recocido
1000, 9020000, 120, 1000, 8950000, 1, 43, Recocido
1000, 9450000, 128, 1000, 9200000, 1, 44, Recocido
1000, 7400000, 106, 1000, 7150000, 1, 41, Recocido
1000, 9890000, 154, 1000, 9660000, 1, 44, Recocido
1000, 9450000, 133, 1000, 9180000, 1, 45, Recocido
1000, 10800000, 155, 1000, 10680000, 1, 46, Recocido
1000, 8600000, 106, 1000, 8330000, 1, 41, Recocido
1000, 10340000, 177, 1000, 10170000, 1, 47, Recocido
1000, 10340000, 185, 1000, 10130000, 1, 49, Recocido
1000, 9450000, 120, 1000, 9210000, 0, 43, Recocido
1000, 9890000, 178, 1000, 9770000, 1, 47, Recocido
1000, 9890000, 126, 1000, 9880000, 1, 44, Recocido
1000, 8190000, 120, 1000, 7920000, 1, 43, Recocido
1000, 9890000, 175, 1000, 9790000, 1, 48, Recocido
1000, 8190000, 106, 1000, 8050000, 0, 41, Recocido
1000, 7790000, 100, 1000, 7530000, 1, 40, Recocido
1000, 7400000, 129, 1000, 7160000, 0, 42, Recocido
1000, 10800000, 182, 1000, 10610000, 0, 49, Recocido
1000, 11750000, 204, 1000, 11480000, 1, 49, Recocido
1000, 8600000, 133, 1000, 8530000, 1, 45, Recocido
1000, 12240000, 171, 1000, 12000000, 0, 48, Recocido
1000, 10800000, 177, 1000, 10700000, 0, 47, Recocido
1000, 11750000, 182, 1000, 11540000, 0, 49, Recocido
1000, 9450000, 127, 1000, 9410000, 1, 44, Recocido
